	GSM2345472	GSM2345460	GSM2345464	GSM2345473	GSM2345470	GSM2345461	GSM2345466	GSM2345463	GSM2345469	GSM2345471	GSM2345462	GSM2345465	GSM2345468	GSM2345467	GSM2345459
Tmed6	160	129	117	40	121	254	120	131	1056	134	60	160	1150	265	154
Tmed7	1888	3818	2784	1700	813	3233	4209	3295	3475	1367	1797	4385	1532	966	3671
Tmed8	2431	3632	2335	2044	1183	3152	3980	2969	4104	1781	3860	4054	2472	1238	3809
Tmed9	4113	1772	3633	1556	2313	1921	3366	1728	2594	1110	1107	3150	3439	2403	1859
Tmeff1	57	280	162	45	33	212	231	211	139	49	189	181	116	45	386
Tmeff2	9	12	9	6	1	12	11	16	10	7	16	10	12	1	12
Tmem100	1	2	0	0	2	1	2	2	2	0	2	4	0	0	4
Tmem101	275	189	204	100	230	168	222	195	221	85	162	223	302	211	247
Tmem102	282	136	104	79	260	136	122	150	211	82	286	127	276	287	175
Tmem104	482	288	421	276	292	259	471	269	406	158	253	419	452	340	310
Tmem106a	119	60	44	47	69	36	64	55	93	41	181	64	95	75	73
Tmem106b	722	1516	884	1086	329	1154	1986	1399	1544	927	1345	2075	575	416	1453
Tmem106c	986	595	804	389	708	508	782	618	820	309	357	736	1092	735	559
Tmem107	676	345	661	250	527	321	576	267	481	218	196	457	603	571	359
Tmem108	183	328	216	107	103	217	263	290	234	102	416	257	171	128	360
Tmem109	1250	565	1073	505	912	614	996	650	971	365	555	932	1347	1044	611
Tmem11	438	283	306	172	294	227	331	215	299	119	228	284	413	331	330
Tmem110	66	50	44	41	47	41	51	46	50	18	138	46	64	58	54
Tmem114	0	1	0	0	2	0	0	1	0	0	2	1	1	2	0
Tmem115	763	402	316	276	469	260	354	298	496	213	326	320	761	589	395
Tmem116	12	28	12	5	7	13	25	17	16	8	15	14	13	14	14
Tmem117	225	151	287	135	96	149	308	116	245	101	159	422	188	114	162
Tmem119	2	0	7	2	0	3	4	2	17	3	1	2	25	5	4
Tmem120a	121	82	74	46	82	55	59	73	87	30	117	56	133	71	94
Tmem120b	89	80	113	45	49	70	86	53	104	24	80	84	121	69	62
Tmem121	57	34	19	22	36	16	24	33	26	15	13	34	57	43	23
Tmem123	525	749	839	417	273	712	979	892	1027	366	822	1281	469	277	729
Tmem125	27	36	24	12	12	22	32	45	53	7	26	12	93	24	43
Tmem126a	285	227	319	136	204	212	284	225	301	142	189	287	284	186	288
Tmem126b	263	157	76	162	91	75	111	62	239	109	167	101	155	111	172
Tmem127	1849	1271	1518	906	1260	1279	1931	1296	1913	707	1336	1812	2125	1197	1334
Tmem128	439	282	255	196	182	150	257	212	279	149	235	235	323	181	228
Tmem129	448	319	307	200	292	218	341	156	335	165	258	302	482	269	307
Tmem130	400	225	408	194	403	249	471	333	478	139	544	419	487	356	225
Tmem131	892	1747	1079	760	474	1312	1904	1501	1649	662	1094	1828	954	481	1806
Tmem132a	273	359	375	113	230	286	369	467	273	94	307	332	414	315	372
Tmem132b	311	452	353	473	109	658	727	667	741	363	927	803	317	153	412
Tmem132c	0	3	0	0	0	2	1	2	1	0	1	1	2	0	4
Tmem132d	0	5	3	0	0	0	0	5	0	0	0	4	0	0	3
Tmem132e	0	0	0	0	0	1	0	1	0	0	7	0	0	0	2
Tmem134	1011	520	858	361	830	510	731	520	772	298	377	673	1117	932	632
Tmem135	703	543	718	454	353	443	896	524	791	327	472	831	605	376	472
Tmem136	2	9	7	2	1	7	5	2	4	3	6	1	2	3	5
Tmem138	113	106	66	46	89	71	111	78	115	41	66	87	120	100	119
Tmem139	16	9	4	1	4	9	11	56	2	3	1	4	9	4	9
Tmem140	30	16	18	50	24	8	20	44	22	17	122	42	29	30	13
Tmem141	172	71	126	47	122	94	101	66	107	35	41	75	158	163	90
Tmem143	266	122	173	93	194	84	176	117	189	88	90	122	256	201	112
Tmem144	48	38	40	31	11	31	63	49	35	35	101	60	22	23	33
Tmem145	63	64	35	43	50	31	45	40	53	35	13	56	63	45	40
Tmem147	1107	517	689	343	894	461	552	480	777	330	383	567	1088	1006	598
