	GSM2517014	GSM2517015	GSM2517016	GSM2517017	GSM2517018	GSM2517019	GSM2517020	GSM2517021	GSM2517022	GSM2517023	GSM2517024	GSM2517025
G630030J09Rik	1	1	0	0	0	3	2	3	2	2	1	5
G630055G22Rik	0	0	0	0	0	0	0	0	0	0	0	0
G630064G18Rik	3	0	1	2	1	6	4	1	4	3	0	0
G630093K05Rik	0	1	3	1	0	0	1	1	1	0	1	1
G6pc	2	1	3	0	0	1	1	1	0	1	0	0
G6pc2	21666	5338	3082	1639	7509	26123	12569	25389	18574	23440	16543	22115
G6pc3	304	276	174	131	353	297	312	452	289	326	288	346
G6pd2	0	0	0	0	2	0	1	0	0	0	1	0
G6pdx	274	204	142	111	1823	252	619	500	437	361	295	336
G730003C15Rik	21	10	6	7	14	14	12	25	13	16	17	31
G730013B05Rik	7	0	5	1	0	4	0	1	2	2	2	2
G930009F23Rik	6	2	3	3	2	6	4	1	2	2	1	1
G930045G22Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gaa	1757	1823	1397	724	1473	930	1423	2303	1722	1628	1253	2016
Gab1	235	148	98	65	270	171	120	169	134	57	54	159
Gab2	255	1198	1021	499	639	185	292	345	277	210	157	287
Gab3	23	6	10	2	44	44	24	23	22	20	27	14
Gabarap	1998	2052	1372	957	5224	1953	2570	2622	2002	2010	1618	1937
Gabarapl1	2114	1988	1552	900	1808	877	1152	1994	1143	1310	1051	1696
Gabarapl2	910	816	607	389	834	856	788	963	668	942	571	899
Gabbr1	397	359	266	110	184	997	575	818	273	624	541	604
Gabbr2	446	1019	819	395	206	360	670	1031	821	606	649	713
Gabpa	432	510	406	250	595	522	428	403	422	391	295	277
Gabpb1	177	432	367	222	181	226	184	241	125	205	130	156
Gabpb2	556	478	754	333	622	1041	606	498	634	757	521	456
Gabra1	1	0	0	0	0	0	0	0	0	0	0	0
Gabra2	18	7	5	5	5	14	14	11	14	21	15	15
Gabra3	3	4	1	4	882	151	147	99	93	87	32	102
Gabra4	43	18	13	17	19	61	39	42	46	103	49	35
Gabra5	1	2	3	1	1	10	5	12	4	6	6	6
Gabra6	0	0	0	0	0	0	0	0	0	0	0	0
Gabrb1	2	8	9	4	7	4	7	6	6	7	5	5
Gabrb2	0	2	0	0	7	1	0	1	0	0	0	1
Gabrb3	621	511	535	241	235	768	675	796	607	826	549	606
Gabrd	7	2	2	1	4	6	8	3	1	1	4	2
Gabre	17	7	13	8	15	33	31	36	8	18	12	22
Gabrg1	12	8	4	0	2	19	2	9	2	10	3	9
Gabrg2	0	3	1	0	2	5	1	1	1	1	2	8
Gabrg3	5	18	7	6	13	4	2	5	4	8	3	9
Gabrp	166	1	3	0	0	0	0	4	0	0	0	0
Gabrq	3	5	8	2	9	21	9	6	3	7	9	0
Gabrr1	1	0	0	0	0	0	0	0	0	0	0	1
Gabrr2	2	0	2	0	8	13	3	2	1	0	1	1
Gabrr3	0	0	0	0	0	0	0	1	0	0	0	0
Gad1	1177	907	654	316	56	210	105	276	235	274	199	501
Gad1-ps	0	0	0	0	7	3	2	1	8	3	2	2
Gad1os	0	0	0	0	0	1	0	0	0	0	2	1
Gad2	8	4	5	2	1	7	2	7	2	9	7	4
Gadd45a	234	471	313	231	148	64	106	153	98	88	61	86
Gadd45b	294	177	136	79	95	89	40	79	20	81	68	88
Gadd45g	774	236	156	104	312	194	301	437	268	265	291	313
Gadd45gip1	275	203	153	114	353	160	191	319	229	271	216	244
Gadl1	0	3	2	1	5	2	1	0	2	0	1	1
Gak	1028	1732	1606	901	935	893	930	1416	963	1153	926	1096
Gal	1	104	26	81	0	0	0	0	0	0	0	0
Gal3st1	120	42	38	26	34	133	115	162	108	154	98	157
Gal3st2	12	0	0	0	0	5	0	0	0	0	0	0
Gal3st2b	1	2	0	1	0	1	3	0	0	0	0	0
Gal3st2c	17	4	13	4	3	15	7	7	5	6	11	5
Gal3st3	10	4	11	0	2	15	9	12	14	14	2	8
Gal3st4	0	0	2	0	11	1	10	11	2	9	6	0
Galc	244	200	167	77	322	220	253	351	264	287	215	321
Gale	241	210	195	105	336	330	363	543	256	423	282	264
Galk1	22	11	6	6	133	26	20	30	14	22	10	19
Galk2	373	165	122	66	464	258	290	396	339	317	200	296
Galm	33	2	0	0	295	24	71	22	28	13	16	34
Galns	353	429	356	189	270	293	300	505	262	377	329	384
Galnt1	766	797	607	350	1667	868	948	985	837	934	652	920
Galnt10	447	300	262	153	534	346	394	731	486	535	392	650
Galnt11	509	204	327	126	470	467	497	719	499	576	413	435
Galnt12	156	85	66	58	104	180	191	295	176	202	157	200
Galnt13	36	20	14	10	12	45	18	47	13	24	11	32
Galnt14	315	191	151	90	69	179	159	261	196	256	175	231
Galnt15	57	60	52	23	727	204	186	221	161	176	103	274
Galnt16	22	24	16	9	518	53	109	51	49	35	27	67
Galnt17	9	6	10	4	72	33	10	43	18	16	10	28
Galnt18	298	262	187	98	119	77	94	193	202	113	95	208
Galnt2	753	364	272	136	1375	628	970	1378	886	932	738	968
Galnt3	51	44	16	36	3	11	2	5	1	3	1	10
Galnt4	276	144	119	86	326	326	233	419	245	439	337	509
Galnt5	2	0	0	2	6	3	4	4	0	5	5	6
Galnt6	6	16	6	9	100	243	14	48	15	14	5	26
Galnt6os	4	5	1	0	0	5	0	0	0	0	0	0
Galnt7	134	102	106	53	154	239	163	179	159	185	97	141
Galnt9	25	67	63	43	45	42	16	50	35	14	15	46
