gene_symbol	GSM2728750	GSM2728754	GSM2728752	GSM2728758	GSM2728756	GSM2728763	GSM2728759	GSM2728762	GSM2728764	GSM2728766	GSM2728765	GSM2728751	GSM2728753	GSM2728757	GSM2728761	GSM2728760	GSM2728755
1600010M07Rik	29.5625	16.59375	102.6875	153.75	57.5	27.625	42.78125	49.25	97.625	85.4375	81.5625	68.25	54.5	57.03125	87.625	13.546875	114.375
1600012H06Rik	606.375	521.75	469.25	669.0	475.75	602.5	538.375	543.25	636.25	611.125	411.0	578.25	487.375	407.125	576.875	570.125	629.375
1600012P17Rik	74.875	74.125	122.875	96.6875	76.9375	76.6875	105.25	115.125	60.3125	114.9375	117.875	82.0625	82.375	114.875	67.9375	102.0625	61.375
1600014C10Rik	201.421875	142.08203125	211.5703125	195.8515625	241.84375	167.1953125	168.24609375	141.24609375	242.484375	155.84765625	185.3046875	97.6552734375	150.392578125	199.609375	139.87109375	169.328125	213.28125
1600014C23Rik	17.671875	15.1640625	23.484375	23.046875	41.1875	15.9921875	21.53125	17.9375	45.375	25.8125	118.75	18.171875	16.984375	42.8125	29.390625	17.390625	20.34375
1600015I10Rik	64.4375	46.46875	135.875	106.375	92.375	61.84375	81.8125	88.75	172.625	64.0625	116.5625	85.5	55.28125	184.375	98.5	121.5	102.5625
1600020E01Rik	3946.0	3400.0	3700.0	3248.0	3910.0	3558.0	3596.0	2906.0	5788.0	2954.0	2532.0	3396.0	2540.0	2938.0	3774.0	2944.0	3438.0
1600022D10Rik	25.0625	31.53125	45.875	4.5	56.03125	6.75	52.3125	55.84375	9.46875	8.3046875	13.28125	26.421875	86.125	60.5	6.8203125	11.9609375	8.9609375
1600023N17Rik	99.0625	101.625	115.0	63.3125	68.8125	98.0625	78.25	66.625	87.25	80.3125	101.1875	73.75	104.375	91.9375	33.5	125.0625	96.0625
1600025M17Rik	3.26953125	8.7109375	6.5390625	7.95703125	4.8359375	3.591796875	7.29296875	4.703125	9.484375	10.03125	7.5546875	21.96875	4.203125	17.078125	12.7890625	4.171875	5.4296875
1600029O15Rik	35.0	13.625	15.734375	25.796875	87.9375	29.5625	32.53125	36.625	32.09375	12.390625	68.375	53.28125	42.875	52.0625	30.09375	67.5625	32.5
1700001C02Rik	9.82421875	15.583984375	17.01171875	30.37890625	7.1640625	24.0625	14.302734375	9.31640625	51.314453125	36.3828125	11.86328125	25.98046875	22.0703125	11.404296875	5.150390625	18.40234375	6.2294921875
1700001C19Rik	42.798828125	35.37109375	32.1015625	28.48046875	48.140625	40.6796875	39.6796875	22.02734375	51.05859375	37.5390625	88.265625	42.484375	48.59375	39.4140625	19.59765625	44.3828125	21.68359375
1700001D01Rik	58.0	16.09375	51.28125	24.109375	11.53125	48.03125	20.765625	26.140625	17.25	38.96875	40.59375	10.296875	11.4453125	19.0625	32.09375	17.078125	21.328125
1700001G11Rik	111.875	96.0	65.75	162.0	104.4375	102.5	115.0625	117.0	176.25	147.75	131.5	100.3125	122.875	149.375	124.5625	86.625	77.25
1700001G17Rik	13.4140625	66.1875	110.4375	25.6875	81.375	49.25	89.875	77.9375	140.125	75.8125	98.25	52.5	16.0	101.9375	83.1875	58.21875	54.75
1700001K19Rik	35.75	60.59375	67.25	52.9375	119.8125	77.8125	101.1875	36.6875	83.125	68.0	48.4375	44.03125	78.9375	28.25	83.4375	6.1796875	13.921875
1700001L05Rik	23.75	60.65625	37.84375	41.5625	36.34375	10.0703125	47.53125	52.15625	25.875	24.0625	31.078125	19.296875	65.25	48.15625	65.25	32.84375	31.5625
1700001L19Rik	46.4375	12.6484375	10.09375	16.875	9.65625	39.4375	8.1484375	10.7421875	11.0625	31.3125	51.34375	10.234375	15.5078125	11.3125	22.203125	6.0078125	6.5390625
1700001O22Rik	83.9375	12.9765625	12.9140625	6.625	12.59375	6.70703125	10.9921875	9.6015625	4.01953125	7.125	13.046875	4.1796875	25.390625	5.12890625	10.625	9.578125	22.3125
1700001P01Rik	31.201171875	9.427734375	36.625	5.345703125	20.98046875	17.5068359375	27.046875	15.5908203125	45.734375	4.525390625	26.7578125	49.87109375	13.6015625	41.109375	31.19921875	24.650390625	16.6376953125
1700003D09Rik	23.0625	26.09375	32.4375	26.21875	37.21875	6.92578125	11.203125	27.515625	28.6875	5.1640625	13.2734375	8.515625	9.796875	14.765625	39.96875	60.0	29.453125
1700003E16Rik	48.15625	119.5625	113.4375	134.375	42.875	28.203125	90.5	17.453125	32.78125	123.5625	162.0	82.125	23.515625	39.4375	41.15625	40.78125	122.875
1700003E24Rik	6.7578125	38.03125	8.84375	54.46875	59.0625	52.375	44.25	21.0	58.03125	74.4375	37.03125	44.53125	55.125	49.4375	61.09375	48.78125	42.59375
1700003F12Rik	26.40625	58.330078125	54.40625	68.22265625	46.3671875	34.697265625	50.44921875	57.90625	80.87890625	61.11328125	35.296875	62.7294921875	43.404296875	60.3671875	49.94921875	67.75390625	37.296875
1700003G18Rik	8.546875	6.5	7.984375	40.4375	5.21484375	18.9375	4.37890625	6.05078125	7.69921875	7.7265625	20.46875	9.0	11.359375	4.87890625	2.576171875	6.859375	8.453125
1700003H04Rik	4.009765625	13.19921875	30.21875	38.544921875	61.7890625	29.578125	5.869140625	23.96875	11.158203125	38.1767578125	10.1416015625	32.568359375	40.0	13.390625	18.62109375	24.759765625	6.8515625
1700003I16Rik	11.4453125	5.01953125	6.875	57.15625	17.4375	39.53125	5.02734375	30.015625	16.515625	46.78125	44.96875	69.25	50.6875	10.0234375	57.875	53.75	8.2421875
1700003P14Rik	43.5625	48.03125	34.125	21.40625	12.5859375	28.578125	9.5	29.15625	52.34375	47.96875	26.984375	49.34375	59.65625	60.375	55.1875	81.9375	55.375
1700006A11Rik	10.4453125	8.4140625	61.09375	7.13671875	15.8359375	40.125	31.9375	6.56640625	71.3125	52.5625	53.84375	33.125	22.890625	41.46875	39.75	7.62109375	5.08984375
1700006E09Rik	2.482421875	3.900390625	32.46875	35.0	44.5625	11.375	13.828125	2.380859375	82.0625	25.421875	21.84375	8.09375	19.703125	8.296875	27.109375	41.34375	11.6171875
1700006F04Rik	1.7548828125	4.64453125	2.61328125	14.6953125	5.1796875	2.29296875	4.3046875	9.2734375	3.712890625	29.390625	11.6953125	1.4169921875	3.291015625	3.9765625	4.65625	7.3359375	12.34375
1700006J14Rik	40.09375	40.15625	104.5625	13.1640625	48.28125	32.4375	18.75	5.69140625	43.78125	73.5	35.9375	30.90625	60.125	58.0	60.53125	65.4375	44.25
1700007B14Rik	13.015625	31.78125	18.75	53.0625	32.9375	3.884765625	8.4140625	146.875	44.09375	117.75	6.3203125	9.1015625	49.0	4.4453125	23.28125	10.96875	12.9375
1700007E05Rik	46.125	40.25	7.37890625	48.75	5.859375	23.734375	12.8359375	54.125	65.3125	69.4375	33.59375	28.46875	43.75	5.0	33.8125	18.015625	11.453125
1700007F19Rik	9.7265625	35.8125	24.90625	27.125	30.28125	5.15234375	14.9921875	24.484375	29.09375	85.125	44.375	61.46875	18.5	65.75	13.2578125	35.96875	15.40625
1700007G11Rik	34.3125	69.875	33.0625	71.1875	38.625	30.71875	51.75	35.65625	5.42578125	56.375	7.55078125	4.86328125	55.875	21.546875	18.921875	19.9375	71.75
1700007J10Rik	13.546875	4.73828125	7.640625	9.1484375	8.8671875	9.203125	16.09375	5.9375	11.4609375	12.828125	7.0546875	4.80859375	6.5	7.30078125	14.2890625	11.328125	26.5625
1700007J24Rik	44.28125	69.6875	104.0	74.25	99.75	98.5	87.375	44.46875	28.0	83.1875	128.875	75.4375	81.625	64.5	30.515625	115.625	55.53125
1700007K09Rik	91.625	114.125	152.375	144.625	150.875	54.15625	87.4375	138.5	100.3125	166.125	118.8125	96.125	139.25	108.8125	88.5625	115.1875	92.25
1700007K13Rik	55.65625	5.1484375	50.125	66.6875	66.5625	9.3125	17.765625	7.453125	55.21875	36.34375	17.203125	6.10546875	30.09375	22.453125	10.578125	3.32421875	36.375
1700007L15Rik	35.78125	56.34375	29.421875	25.625	28.765625	33.53125	9.2734375	10.4921875	87.6875	33.03125	12.671875	23.328125	49.96875	36.78125	16.78125	9.296875	33.71875
1700008F19Rik	24.359375	61.09375	39.125	67.4375	62.25	51.53125	20.515625	54.28125	188.125	112.5625	59.5	42.40625	57.21875	19.734375	12.90625	13.3359375	101.9375
1700008H02Rik	44.03125	74.125	63.1875	44.328125	27.8125	45.171875	94.796875	78.17578125	31.162109375	80.84375	57.8359375	94.578125	123.09375	41.58984375	78.6875	87.40625	25.51171875
1700008J07Rik	73.5234375	144.671875	122.890625	71.50146484375	173.59375	142.8046875	79.794921875	63.611328125	210.96875	58.59375	79.63671875	47.26171875	106.34375	125.0	68.96875	53.265625	147.1015625
1700008K24Rik	5.98828125	7.62890625	10.5703125	4.2109375	5.5234375	6.30859375	6.66796875	5.6015625	6.1171875	6.16015625	4.328125	4.40234375	5.8046875	5.09765625	8.203125	20.203125	5.5390625
1700008N17Rik	98.41796875	92.33203125	145.1875	149.83984375	136.453125	70.537109375	134.9921875	108.453125	98.703125	132.30859375	125.19921875	138.369140625	123.0546875	148.8564453125	126.998046875	95.9453125	92.248046875
1700008O03Rik	3.12109375	4.5546875	8.6484375	6.09375	11.4375	6.078125	7.96875	9.4140625	6.26953125	3.591796875	6.50390625	8.0546875	14.7109375	14.7109375	27.40625	21.046875	3.009765625
